internship_id,company_name,sector,role_title,location,education_required,key_skills,duration_months,stipend_amount,description,application_deadline,spots_available,priority_score
PMIS0001,Asian Paints,Construction,Technical Assistant,"Kolkata, West Bengal",Diploma,"Software Tools, Technical Drawing",12,5000,Join Asian Paints as a Technical Assistant intern in Construction sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,4,0.9464704583099741
PMIS0002,HDFC Bank,IT Services,Lab Assistant,"Delhi, Delhi",Diploma,"Technical Drawing, Project Management",12,5000,Join HDFC Bank as a Lab Assistant intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.996884623716487
PMIS0003,Sun Pharma,Textiles,Data Entry Operator,"Dehradun, Uttarakhand",10th Pass,"Basic Communication, Computer Basics",12,5000,Join Sun Pharma as a Data Entry Operator intern in Textiles sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.7168578594140873
PMIS0004,Britannia Industries,Textiles,Machine Operator,"Bengaluru, Karnataka",ITI,"Equipment Handling, Technical Skills",12,5000,Join Britannia Industries as a Machine Operator intern in Textiles sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.6260206371941118
PMIS0005,Aditya Birla Group,Retail,Technical Assistant,"Indore, Madhya Pradesh",Diploma,"Project Management, Quality Control",12,5000,Join Aditya Birla Group as a Technical Assistant intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.8736932106048627
PMIS0006,Sun Pharma,Healthcare,Quality Control Inspector,"Ahmedabad, Gujarat",Diploma,"Project Management, Quality Control",12,5000,Join Sun Pharma as a Quality Control Inspector intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.8650089137415928
PMIS0007,Wipro,FMCG,Retail Associate,"Chennai, Tamil Nadu",12th Pass,"MS Office, Sales Skills",12,5000,Join Wipro as a Retail Associate intern in FMCG sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,5,0.9757995766256756
PMIS0008,Aditya Birla Group,IT Services,CAD Operator,"Ahmedabad, Gujarat",Diploma,"Project Management, Software Tools",12,5000,Join Aditya Birla Group as a CAD Operator intern in IT Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,8,0.9314950036607718
PMIS0009,Godrej Group,Retail,Retail Associate,"Jaipur, Rajasthan",12th Pass,"Communication Skills, Sales Skills",12,5000,Join Godrej Group as a Retail Associate intern in Retail sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.9947547746402069
PMIS0010,Asian Paints,Textiles,Data Entry Operator,"Bhopal, Madhya Pradesh",10th Pass,"Computer Basics, Customer Service",12,5000,Join Asian Paints as a Data Entry Operator intern in Textiles sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,2,0.8423839899124046
PMIS0011,ITC Limited,Healthcare,Accounts Assistant,"Kolkata, West Bengal",12th Pass,"Basic Accounting, MS Office",12,5000,Join ITC Limited as a Accounts Assistant intern in Healthcare sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,9,0.7483273008793065
PMIS0012,Sun Pharma,Travel & Hospitality,HR Assistant,"Ahmedabad, Gujarat",Graduate,"Analytics, Team Management",12,5000,Join Sun Pharma as a HR Assistant intern in Travel & Hospitality sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,6,0.9886848381556415
PMIS0013,Maruti Suzuki,Banking & Financial Services,Welder,"Bhubaneswar, Odisha",ITI,"Equipment Handling, Problem Solving",12,5000,Join Maruti Suzuki as a Welder intern in Banking & Financial Services sector. Gain hands-on experience and develop industry-relevant skills.,2025-12-31,3,0.610167650697638
